id	Domain	ChapterLevel	uniqTrait	no_rep_phenos	no_rep_disease	no_rep_disease_disorder	indep_phenos	indep_disease	indep_disease_disorder	cat
3272	Cognitive	Mental Functions	Handedness	1	0	0	1	0	0	Cognitive
3303	Psychiatric	Mental Functions	Able to confide	1	0	0	1	0	0	Cognitive
3361	Neurological	Sensory Functions and Pain	Neck/shoulder pain for 3+ months	1	0	0	1	0	0	Cognitive
3374	Neurological	Sensory Functions and Pain	Headaches for 3+ months	1	0	0	1	0	0	Cognitive
3415	Cognitive	Mental Functions	Reaction time	1	0	0	1	0	0	Cognitive
3418	Cognitive	Mental Functions	Fluid intelligence test - Number of fluid intelligence questions attempted within time limit	1	0	0	1	0	0	Cognitive
3432	Cognitive	Mental Functions	Symbol digit substitution test - Number of symbol digit matches attempted	1	0	0	1	0	0	Cognitive
3434	Cognitive	Mental Functions	Numeric memory test - Maximum digits remembered correctly	1	0	0	1	0	0	Cognitive
3570	Neurological	Sensory Functions and Pain	Headache	1	0	0	1	0	0	Cognitive
3748	Psychiatric	Mental Functions	Felt loved as child	1	0	0	1	0	0	Cognitive
3779	Psychiatric	Mental Functions	Witnessed sudden violent death	1	0	0	1	0	0	Cognitive
3789	Psychiatric	Mental Functions	Chronotype	0	0	0	1	0	0	Cognitive
3792	Psychiatric	Mental Functions	Nap	0	0	0	1	0	0	Cognitive
3793	Psychiatric	Mental Functions	Sleep duration	0	0	0	1	0	0	Cognitive
3794	Psychiatric	Mental Functions	Snoring	0	0	0	1	0	0	Cognitive
3795	Psychiatric	Mental Functions	Neuroticism	0	0	0	1	0	0	Cognitive
4066	Environment	Major Life Areas	Educational attainment	1	0	0	1	0	0	Cognitive
63	Reproduction	Genitourinary and Reproductive Functions	Age at menarche	1	0	0	1	0	0	Reproduction
3346	Reproduction	Genitourinary and Reproductive Functions	Ever taken oral contraceptive pill	1	0	0	1	0	0	Reproduction
3347	Reproduction	Genitourinary and Reproductive Functions	Age started oral contraceptive pill	1	0	0	1	0	0	Reproduction
3348	Reproduction	Genitourinary and Reproductive Functions	Age when last used oral contraceptive pill	1	0	0	1	0	0	Reproduction
3364	Reproduction	Genitourinary and Reproductive Functions	Age last used hormone-replacement therapy (HRT)	1	0	0	1	0	0	Reproduction
3366	Reproduction	Genitourinary and Reproductive Functions	Age at menopause	1	0	0	1	0	0	Reproduction
3414	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Birth weight	1	0	0	1	0	0	Reproduction
4071	Reproduction	Genitourinary and Reproductive Functions	Number of sexual partners	1	0	0	1	0	0	Reproduction
71	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	High-density lipoprotein cholesterol	1	0	0	1	0	0	Metabolic
72	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides	1	0	0	1	0	0	Metabolic
73	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol	1	0	0	1	0	0	Metabolic
193	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Estimated glomerular filtration rate based on serum creatinine	0	0	0	1	0	0	Metabolic
197	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Urinary albumin-to-creatinine ratio	1	0	0	1	0	0	Metabolic
206	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Serum Urate	1	0	0	1	0	0	Metabolic
1156	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting glucose	0	0	0	1	0	0	Metabolic
3318	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight change	1	0	0	1	0	0	Metabolic
3943	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	HbA1c	1	0	0	1	0	0	Metabolic
3981	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	25-Hydroxyvitamin D level	1	0	0	1	0	0	Metabolic
4074	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	1	0	0	1	0	0	Metabolic
3187	Skeletal	Structures Related to Movement	Height	0	0	0	1	0	0	Physical
3330	Body Structures	Injury, Poisoning and Certain Other Consequences of External Causes	Fractured/broken bones in last 5 years	1	0	0	1	0	0	Physical
3544	Body Structures	Structure Involved in Voice and Speech	Mouth ulcers	1	0	0	1	0	0	Physical
3547	Body Structures	Structure Involved in Voice and Speech	Loose teeth	1	0	0	1	0	0	Physical
3549	Body Structures	Structure Involved in Voice and Speech	Dentures	1	0	0	1	0	0	Physical
3682	Skeletal	Sensory Functions and Pain	Abdominal and pelvic pain	1	0	0	1	0	0	Physical
3979	Skeletal	Structures Related to Movement	Bone mineral density	1	0	0	1	0	0	Physical
3869	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Basophil count	1	0	0	1	0	0	Immunological
3873	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Sum eosinophil basophil count	1	0	0	1	0	0	Immunological
3877	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Granulocyte count	1	0	0	1	0	0	Immunological
