id	Domain	ChapterLevel	uniqTrait	no_rep_phenos	no_rep_disease	no_rep_disease_disorder	indep_phenos	indep_disease	indep_disease_disorder
1	Psychiatric	Mental and Behavioural Disorders	Attention deficit hyperactivity disorder	0	0	0	0	0	0
2	Psychiatric	Mental and Behavioural Disorders	Attention deficit hyperactivity disorder	1	0	1	1	0	1
4	Psychiatric	Mental and Behavioural Disorders	Autism spectrum disorder	0	0	0	0	0	0
5	Psychiatric	Mental and Behavioural Disorders	Bipolar disorder	0	0	0	0	0	0
6	Psychiatric	Mental Functions	Anxiety disorder	1	0	1	0	0	0
7	Psychiatric	Mental Functions	Anxiety disorder	0	0	0	0	0	0
8	Psychiatric	Mental and Behavioural Disorders	Major depressive disorder	0	0	0	0	0	0
9	Psychiatric	Mental and Behavioural Disorders	Schizophrenia	0	0	0	0	0	0
10	Psychiatric	Mental and Behavioural Disorders	Schizophrenia	0	0	0	0	0	0
12	Psychiatric	Mental and Behavioural Disorders	Schizophrenia/Bipolar disorder	0	0	0	0	0	0
13	Psychiatric	Mental and Behavioural Disorders	Schizophrenia vs Bipolar disorder	1	0	1	0	0	0
14	Psychiatric	Mental Functions	Posttraumatic stress disorder	1	0	1	0	0	0
17	Psychiatric	Mental and Behavioural Disorders	Anorexia nervosa	1	0	1	0	0	0
18	Psychiatric	Mental and Behavioural Disorders	Former vs current smokers	0	0	0	0	0	0
19	Psychiatric	Mental and Behavioural Disorders	Ever vs never smokers	0	0	0	0	0	0
20	Psychiatric	Mental and Behavioural Disorders	Cigarettes per day	0	0	0	0	0	0
21	Psychiatric	Mental and Behavioural Disorders	Age of smoking initiation	0	0	0	0	0	0
22	Immunological	Diseases of the Blood and Blood-forming Organs and Certain Disorders Involving the Immune Mechanism	Agranulocytosis	1	1	1	0	0	0
24	Psychiatric	Mental and Behavioural Disorders	Attention deficit hyperactivity disorder	0	0	0	0	0	0
25	Psychiatric	Mental and Behavioural Disorders	Internalizing	1	0	1	0	0	0
26	Psychiatric	Mental Functions	Agression	1	0	0	0	0	0
27	Psychiatric	Mental Functions	Neuroticism	0	0	0	0	0	0
28	Psychiatric	Mental Functions	Extraversion	1	0	0	0	0	0
29	Psychiatric	Mental Functions	Openness to experience	1	0	0	0	0	0
30	Psychiatric	Mental Functions	Agreablenes	1	0	0	0	0	0
31	Psychiatric	Mental Functions	Conscientiousness	1	0	0	0	0	0
32	Psychiatric	Mental Functions	Neuroticism	0	0	0	0	0	0
