GO.ID	Term	Annotated
GO:0006366	transcription by RNA polymerase II	2469
GO:0006357	regulation of transcription by RNA polym...	2371
GO:0009894	regulation of catabolic process	906
GO:1902532	negative regulation of intracellular sig...	480
GO:0009896	positive regulation of catabolic process	446
GO:0006351	transcription, DNA-templated	3320
GO:0097659	nucleic acid-templated transcription	3321
GO:0031329	regulation of cellular catabolic process	776
GO:0032774	RNA biosynthetic process	3333
GO:0048285	organelle fission	492
GO:0019222	regulation of metabolic process	6214
GO:0000122	negative regulation of transcription by ...	868
GO:0050896	response to stimulus	8082
GO:0022402	cell cycle process	1121
GO:0016070	RNA metabolic process	4230
GO:0009059	macromolecule biosynthetic process	4511
GO:0048584	positive regulation of response to stimu...	1955
GO:0048609	multicellular organismal reproductive pr...	802
GO:0051252	regulation of RNA metabolic process	3440
GO:0010468	regulation of gene expression	4479
GO:0044248	cellular catabolic process	2081
GO:1902531	regulation of intracellular signal trans...	1584
GO:0048583	regulation of response to stimulus	3580
GO:0060255	regulation of macromolecule metabolic pr...	5733
GO:0040007	growth	908
GO:0006355	regulation of transcription, DNA-templat...	3192
GO:0031323	regulation of cellular metabolic process	5565
GO:1903506	regulation of nucleic acid-templated tra...	3193
GO:0034645	cellular macromolecule biosynthetic proc...	4464
GO:0043933	protein-containing complex subunit organ...	1678
GO:2001141	regulation of RNA biosynthetic process	3197
GO:0009605	response to external stimulus	2532
GO:0010556	regulation of macromolecule biosynthetic...	3664
GO:0023057	negative regulation of signaling	1292
GO:0031326	regulation of cellular biosynthetic proc...	3810
GO:0045596	negative regulation of cell differentiat...	628
GO:0032504	multicellular organism reproduction	822
GO:0033993	response to lipid	856
GO:2000112	regulation of cellular macromolecule bio...	3637
GO:0046903	secretion	893
GO:0009056	catabolic process	2418
GO:0010564	regulation of cell cycle process	606
GO:0010648	negative regulation of cell communicatio...	1289
GO:0006914	autophagy	506
GO:0061919	process utilizing autophagic mechanism	506
GO:0044260	cellular macromolecule metabolic process	7391
GO:0051276	chromosome organization	1153
GO:0009889	regulation of biosynthetic process	3868
GO:0010467	gene expression	5474
GO:1902533	positive regulation of intracellular sig...	931
GO:0051171	regulation of nitrogen compound metaboli...	5189
GO:0051253	negative regulation of RNA metabolic pro...	1340
GO:0048232	male gamete generation	536
GO:0080134	regulation of response to stress	1228
GO:0008104	protein localization	2458
GO:0080090	regulation of primary metabolic process	5349
GO:0000280	nuclear division	446
GO:0009966	regulation of signal transduction	2772
GO:0008152	metabolic process	10560
GO:0051272	positive regulation of cellular componen...	541
GO:0003006	developmental process involved in reprod...	943
GO:0051093	negative regulation of developmental pro...	849
GO:0040017	positive regulation of locomotion	543
GO:0043170	macromolecule metabolic process	8664
GO:0034097	response to cytokine	875
GO:0048732	gland development	426
GO:0010646	regulation of cell communication	3132
GO:0042221	response to chemical	4129
GO:0045892	negative regulation of transcription, DN...	1240
GO:0044271	cellular nitrogen compound biosynthetic ...	4427
GO:0033036	macromolecule localization	2883
GO:0019953	sexual reproduction	834
GO:2000147	positive regulation of cell motility	528
GO:0050776	regulation of immune response	689
GO:0009607	response to biotic stimulus	1363
GO:0051179	localization	5833
GO:0015833	peptide transport	1679
GO:0032940	secretion by cell	758
GO:1903507	negative regulation of nucleic acid-temp...	1242
GO:0023051	regulation of signaling	3145
GO:1902679	negative regulation of RNA biosynthetic ...	1243
GO:0090304	nucleic acid metabolic process	4713
GO:0010033	response to organic substance	2871
GO:0051128	regulation of cellular component organiz...	2257
GO:0042886	amide transport	1709
GO:0065003	protein-containing complex assembly	1490
GO:2000113	negative regulation of cellular macromol...	1430
GO:0051640	organelle localization	515
GO:0045934	negative regulation of nucleobase-contai...	1431
GO:0030335	positive regulation of cell migration	507
GO:0050778	positive regulation of immune response	499
GO:0019219	regulation of nucleobase-containing comp...	3666
GO:0032879	regulation of localization	2601
GO:0048585	negative regulation of response to stimu...	1548
GO:0032446	protein modification by small protein co...	842
GO:0051234	establishment of localization	4399
GO:0007283	spermatogenesis	518
GO:0016049	cell growth	459
GO:0040008	regulation of growth	630
GO:0009967	positive regulation of signal transducti...	1438
GO:0006820	anion transport	2528
GO:0031401	positive regulation of protein modificat...	932
GO:0042391	regulation of membrane potential	402
GO:0010558	negative regulation of macromolecule bio...	1440
GO:0051046	regulation of secretion	589
GO:0051707	response to other organism	1326
GO:0009968	negative regulation of signal transducti...	1186
GO:0002252	immune effector process	752
GO:0007154	cell communication	5917
GO:0043207	response to external biotic stimulus	1328
GO:0010035	response to inorganic substance	514
GO:0023056	positive regulation of signaling	1619
GO:0031327	negative regulation of cellular biosynth...	1496
GO:1901615	organic hydroxy compound metabolic proce...	523
GO:0009057	macromolecule catabolic process	1268
GO:0043066	negative regulation of apoptotic process	824
GO:0070925	organelle assembly	850
GO:0050793	regulation of developmental process	2313
GO:1903047	mitotic cell cycle process	713
