gene	GO_BP_count	GO_BP_count_400_auc	GO_BP_count_400_auc_decile
HGNC:100	67	0	1
HGNC:10000	127	4	9
HGNC:10001	23	1	4
HGNC:10002	28	1	4
HGNC:10003	64	1	4
HGNC:10004	30	1	4
HGNC:10006	41	2	7
HGNC:10007	18	0	1
HGNC:10008	13	0	1
HGNC:10009	13	0	1
HGNC:1001	232	8	10
HGNC:10011	67	3	9
HGNC:10012	49	1	4
HGNC:10017	148	4	9
HGNC:10018	91	1	4
HGNC:10019	218	6	10
HGNC:1002	89	1	4
HGNC:10020	223	9	10
HGNC:10021	188	4	9
HGNC:10023	12	1	4
HGNC:10024	14	0	1
HGNC:10025	80	2	7
HGNC:10026	15	1	4
HGNC:10027	47	1	4
HGNC:1004	63	1	4
HGNC:10044	15	0	1
HGNC:10045	43	1	4
HGNC:10046	43	1	4
HGNC:10047	16	0	1
HGNC:10048	40	1	4
HGNC:1005	21	0	1
HGNC:10050	134	5	10
HGNC:10055	110	2	7
HGNC:10056	31	0	1
HGNC:10057	56	0	1
HGNC:10058	117	1	4
HGNC:10059	140	3	9
HGNC:1006	5	0	1
HGNC:10060	19	1	4
HGNC:10061	107	3	9
HGNC:10062	123	0	1
HGNC:10063	106	2	7
HGNC:10064	52	1	4
HGNC:10065	111	1	4
HGNC:10066	66	0	1
HGNC:10067	113	3	9
HGNC:10068	77	2	7
HGNC:10069	157	2	7
HGNC:10070	34	1	4
HGNC:10071	143	5	10
HGNC:10072	52	1	4
HGNC:10073	29	1	4
HGNC:10074	59	2	7
HGNC:10075	29	0	1
HGNC:10078	9	0	1
HGNC:10079	9	0	1
HGNC:1008	87	1	4
HGNC:10080	74	1	4
HGNC:101	35	0	1
HGNC:1012	32	1	4
HGNC:1014	178	5	10
HGNC:102	16	1	4
HGNC:1020	34	1	4
HGNC:10241	66	1	4
HGNC:10249	191	6	10
HGNC:10250	119	3	9
HGNC:10251	279	15	10
HGNC:10252	272	14	10
HGNC:10253	57	0	1
HGNC:10254	54	2	7
HGNC:10256	141	2	7
HGNC:10257	222	6	10
HGNC:10258	171	5	10
HGNC:10259	118	4	9
HGNC:10260	131	3	9
HGNC:10261	101	3	9
HGNC:10263	62	2	7
HGNC:1027	2	0	1
HGNC:10288	20	0	1
HGNC:10289	50	2	7
HGNC:1029	133	3	9
HGNC:10290	64	1	4
HGNC:10291	43	1	4
HGNC:10293	15	1	4
