gene	hgnc_id	PPI_degree	PPI_degree_decile	PPI_degree_quantile	PPI_degree_cat
UBC	HGNC:12468	5755.36370900025	10	5	1
RPS27A	HGNC:10417	1055.2980817	10	5	1
UBA52	HGNC:12458	1006.5631049	10	5	1
HSPA8	HGNC:5241	942.608485500008	10	5	1
GNB1	HGNC:4396	873.2038699	10	5	1
UBB	HGNC:12463	843.8510305	10	5	1
APP	HGNC:620	672.859042400007	10	5	1
HSPA1B	HGNC:5233	650.814297000003	10	5	1
SUMO2	HGNC:11125	618.248224000003	10	5	1
GRB2	HGNC:4566	601.506965899999	10	5	1
POLR2A	HGNC:9187	564.738688599998	10	5	1
ACTB	HGNC:132	548.381922199999	10	5	1
HSP90AB1	HGNC:5258	539.019348299997	10	5	1
POLR2B	HGNC:9188	528.992920299997	10	5	1
HIST1H4A	HGNC:4781	528.617999999999	10	5	1
SUMO1	HGNC:12502	525.993000000001	10	5	1
HSPA2	HGNC:5235	520.074340299991	10	5	1
HSPA6	HGNC:5239	511.34600569999	10	5	1
POLR2E	HGNC:9192	505.0868533	10	5	1
HSPA1A	HGNC:5232	476.896443399993	10	5	1
HSP90AA1	HGNC:5253	476.540999999998	10	5	1
POLR2L	HGNC:9199	468.4557879	10	5	1
NCBP2	HGNC:7659	468.1357977	10	5	1
EGFR	HGNC:3236	467.626217399999	10	5	1
POLR2H	HGNC:9195	463.1771238	10	5	1
XPO1	HGNC:12825	461.892794299996	10	5	1
POLR2F	HGNC:9193	455.6166687	10	5	1
ELAVL1	HGNC:3312	450.861482399998	10	5	1
NCBP1	HGNC:7658	449.104868	10	5	1
POLR2C	HGNC:9189	444.4042911	10	5	1
POLR2K	HGNC:9198	443.7838944	10	5	1
TP53	HGNC:11998	435.887728	10	5	1
GNAL	HGNC:4388	423.435	10	5	1
POLR2D	HGNC:9191	421.2396107	10	5	1
EEF1A1	HGNC:3189	419.914599699997	10	5	1
POLR2I	HGNC:9196	418.8527453	10	5	1
GNGT1	HGNC:4411	418.512196	10	5	1
GNG2	HGNC:4404	418.510102	10	5	1
SUMO3	HGNC:11124	415.678389399998	10	5	1
POLR2G	HGNC:9194	415.4869272	10	5	1
RAC1	HGNC:9801	414.7851515	10	5	1
POLR2J	HGNC:9197	414.1630396	10	5	1
YWHAE	HGNC:12851	412.8235971	10	5	1
HSPA1L	HGNC:5234	399.840526499992	10	5	1
EP300	HGNC:3373	398.7275006	10	5	1
TUBA1A	HGNC:20766	394.222584399998	10	5	1
ACTG1	HGNC:144	394.1564464	10	5	1
SRC	HGNC:11283	389.8662999	10	5	1
EIF4A3	HGNC:18683	388.314488	10	5	1
RNPS1	HGNC:10080	383.4098389	10	5	1
HIST1H3A	HGNC:4766	373.289999999999	10	5	1
CBL	HGNC:1541	372.0246342	10	5	1
PPP2R1A	HGNC:9302	370.0996251	10	5	1
PIK3R1	HGNC:8979	363.3296647	10	5	1
JUN	HGNC:6204	358.264838000004	10	5	1
MAPK1	HGNC:6871	356.6733288	10	5	1
HNF4A	HGNC:5024	356.219516900003	10	5	1
TUBA4A	HGNC:12407	356.132576599999	10	5	1
CDK1	HGNC:1722	356.118	10	5	1
CSNK1D	HGNC:2452	354.555134200001	10	5	1
PLK1	HGNC:9077	353.8005933	10	5	1
CDC42	HGNC:1736	350.7176752	10	5	1
PABPC1	HGNC:8554	350.303408799999	10	5	1
NTRK1	HGNC:8031	349.103490000003	10	5	1
MYC	HGNC:7553	348.403669799999	10	5	1
PRKACA	HGNC:9380	345.617639699999	10	5	1
MAGOH	HGNC:6815	340.9032	10	5	1
TUBB	HGNC:20778	339.643616699998	10	5	1
YWHAZ	HGNC:12855	335.966070299998	10	5	1
GTF2F2	HGNC:4653	332.6893901	10	5	1
SHC1	HGNC:10840	331.8499145	10	5	1
RBM8A	HGNC:9905	331.295281	10	5	1
ANXA1	HGNC:533	330.8197476	10	5	1
HDAC1	HGNC:4852	328.9694163	10	5	1
YWHAG	HGNC:12852	326.9953079	10	5	1
RPS3	HGNC:10420	325.0818277	10	5	1
HNRNPU	HGNC:5048	324.318981899999	10	5	1
GTF2F1	HGNC:4652	323.513168	10	5	1
HIST3H3	HGNC:4778	322.718846	10	5	1
CDK2	HGNC:1771	322.5904364	10	5	1
HNRNPA1	HGNC:5031	322.5539573	10	5	1
CLTC	HGNC:2092	319.055470099998	10	5	1
YBX1	HGNC:8014	318.5784261	10	5	1
CALM1	HGNC:1442	316.2903473	10	5	1
RPS3A	HGNC:10421	314.361693099999	10	5	1
KNG1	HGNC:6383	313.83889	10	5	1
HNRNPC	HGNC:5035	312.1556776	10	5	1
DHX15	HGNC:2738	311.967375399999	10	5	1
VCP	HGNC:12666	310.918398699999	10	5	1
RPS27	HGNC:10416	308.7203305	10	5	1
AGT	HGNC:333	308.310721	10	5	1
DYNLL1	HGNC:15476	307.5180312	10	5	1
SNW1	HGNC:16696	307.226497299999	10	5	1
RBX1	HGNC:9928	306.0105274	10	5	1
LPAR1	HGNC:3166	305.576	10	5	1
SNRPD2	HGNC:11159	305.4398375	10	5	1
H3F3A	HGNC:4764	305.232	10	5	1
AVP	HGNC:894	303.965	10	5	1
RPA1	HGNC:10289	303.282682399998	10	5	1
BDKRB2	HGNC:1030	301.266502	10	5	1
DDX5	HGNC:2746	301.2039063	10	5	1
PMCH	HGNC:9109	300.335414	10	5	1
RPS6	HGNC:10429	300.3210954	10	5	1
RPS7	HGNC:10440	299.9956487	10	5	1
MAPK3	HGNC:6877	299.2156056	10	5	1
PPP1CC	HGNC:9283	299.020542799999	10	5	1
CASR	HGNC:1514	296.174	10	5	1
SAA1	HGNC:10513	296.039	10	5	1
ACTA1	HGNC:129	295.638847499999	10	5	1
MAGOHB	HGNC:25504	294.648726	10	5	1
RPS14	HGNC:10387	294.5547178	10	5	1
LPAR2	HGNC:3168	293.761	10	5	1
MCHR1	HGNC:4479	293.375	10	5	1
MCHR2	HGNC:20867	293	10	5	1
UBE2I	HGNC:12485	292.811415099999	10	5	1
RPS8	HGNC:10441	292.7803622	10	5	1
BDKRB1	HGNC:1029	292.193	10	5	1
NMU	HGNC:7859	292.153	10	5	1
SOS1	HGNC:11187	292.0627921	10	5	1
GPR17	HGNC:4471	291.840726	10	5	1
NMUR2	HGNC:16454	291.707	10	5	1
CCL23	HGNC:10622	291.679681	10	5	1
H2AFX	HGNC:4739	291.404739899999	10	5	1
CUL1	HGNC:2551	291.341453799999	10	5	1
FPR2	HGNC:3827	291	10	5	1
LPAR3	HGNC:14298	291	10	5	1
LPAR5	HGNC:13307	291	10	5	1
NMS	HGNC:32203	291	10	5	1
NMUR1	HGNC:4518	291	10	5	1
RPS2	HGNC:10404	290.7224117	10	5	1
RPS9	HGNC:10442	289.1972878	10	5	1
CREBBP	HGNC:2348	287.9267038	10	5	1
SUMO4	HGNC:21181	286.470956499999	10	5	1
CHRM2	HGNC:1951	286.463779	10	5	1
SF3B1	HGNC:10768	285.5126622	10	5	1
GNAI2	HGNC:4385	283.7156929	10	5	1
RHOA	HGNC:667	283.3579911	10	5	1
FYN	HGNC:4037	281.7181875	10	5	1
RPL4	HGNC:10353	281.639480899999	10	5	1
CTNNB1	HGNC:2514	279.2763655	10	5	1
DHX9	HGNC:2750	277.7779999	10	5	1
PPIE	HGNC:9258	277.561685999999	10	5	1
POMC	HGNC:9201	276.674413	10	5	1
SF3B3	HGNC:10770	275.3813612	10	5	1
SRRM1	HGNC:16638	274.64554	10	5	1
U2AF2	HGNC:23156	274.151161	10	5	1
HSPA5	HGNC:5238	273.357479799998	10	5	1
HNRNPA2B1	HGNC:5033	273.3506925	10	5	1
TRAF6	HGNC:12036	273.1868686	10	5	1
SNRPD1	HGNC:11158	272.5471892	10	5	1
RPLP0	HGNC:10371	272.058587799999	10	5	1
RPA2	HGNC:10290	271.988622499999	10	5	1
CDC5L	HGNC:1743	271.707094799999	10	5	1
RPS13	HGNC:10386	270.7379322	10	5	1
PTPN11	HGNC:9644	270.3990836	10	5	1
SNRPB	HGNC:11153	269.2640698	10	5	1
PLCG1	HGNC:9065	268.7442753	10	5	1
RLN3	HGNC:17135	267	10	5	1
TUBB4B	HGNC:20771	266.763999999999	10	5	1
MAPRE1	HGNC:6890	266.7111185	10	5	1
TUBB4A	HGNC:20774	266.426999999998	10	5	1
NXF1	HGNC:8071	265.980825500002	10	5	1
RUVBL1	HGNC:10474	265.433791099998	10	5	1
PPP2CA	HGNC:9299	263.491985099999	10	5	1
SNU13	HGNC:7819	262.985	10	5	1
CPSF1	HGNC:2324	262.9501309	10	5	1
FUS	HGNC:4010	262.8728861	10	5	1
ACTA2	HGNC:130	262.756024999998	10	5	1
GNAI1	HGNC:4384	262.5134301	10	5	1
CPSF3	HGNC:2326	262.2390443	10	5	1
GNAI3	HGNC:4387	262.0537825	10	5	1
PRPF8	HGNC:17340	261.6723696	10	5	1
HSPD1	HGNC:5261	260.942147099997	10	5	1
CDK7	HGNC:1778	260.8783276	10	5	1
ACTG2	HGNC:145	259.558107999998	10	5	1
SNRPD3	HGNC:11160	259.006995	10	5	1
HSPA4	HGNC:5237	258.358855199999	10	5	1
ACTC1	HGNC:143	258.314066099998	10	5	1
CSNK1E	HGNC:2453	258.222146499999	10	5	1
RPL3	HGNC:10332	258.0997488	10	5	1
PIK3CA	HGNC:8975	256.9294162	10	5	1
PRPF6	HGNC:15860	256.4543839	10	5	1
CORT	HGNC:2257	256.280573	10	5	1
PIK3R2	HGNC:8980	256.2541967	10	5	1
EED	HGNC:3188	256.186483000006	10	5	1
DYNC1H1	HGNC:2961	255.770037	10	5	1
SRSF1	HGNC:10780	255.675	10	5	1
HNRNPR	HGNC:5047	255.63354	10	5	1
EEF2	HGNC:3214	255.245221299999	10	5	1
RPS11	HGNC:10384	255.0529277	10	5	1
U2AF1	HGNC:12453	254.7163165	10	5	1
SF3B2	HGNC:10769	254.2844858	10	5	1
PRPF19	HGNC:17896	254.1704296	10	5	1
RUVBL2	HGNC:10475	252.432059499999	10	5	1
PTBP1	HGNC:9583	251.9476659	10	5	1
RPS15A	HGNC:10389	251.6202	10	5	1
CDC40	HGNC:17350	251.386675	10	5	1
PAPOLA	HGNC:14981	251.1899387	10	5	1
YWHAB	HGNC:12849	251.055016	10	5	1
RPS5	HGNC:10426	250.9880855	10	5	1
NEDD4L	HGNC:7728	250.925796	10	5	1
EFTUD2	HGNC:30858	250.775858	10	5	1
RPS18	HGNC:10401	250.7515502	10	5	1
BRCA1	HGNC:1100	250.665171799999	10	5	1
CCNB1	HGNC:1579	249.9624953	10	5	1
TBP	HGNC:11588	249.6502736	10	5	1
LSM2	HGNC:13940	249.5267283	10	5	1
RPS20	HGNC:10405	248.5356587	10	5	1
DHX38	HGNC:17211	248.0427011	10	5	1
HNRNPD	HGNC:5036	248.006000000001	10	5	1
AP2B1	HGNC:563	247.6347327	10	5	1
CSTF3	HGNC:2485	246.7137587	10	5	1
SF3B4	HGNC:10771	245.9974975	10	5	1
RPL7A	HGNC:10364	244.9567228	10	5	1
SNRPG	HGNC:11163	244.4703392	10	5	1
SNRPF	HGNC:11162	244.41924	10	5	1
RPS17	HGNC:10397	243.552957	10	5	1
RPL5	HGNC:10360	242.1739984	10	5	1
CUL3	HGNC:2553	241.3993445	10	5	1
PRPF4	HGNC:17349	241.060586	10	5	1
HSPH1	HGNC:16969	240.937762599999	10	5	1
KAT5	HGNC:5275	240.818	10	5	1
SNRPE	HGNC:11161	239.4933465	10	5	1
SRSF2	HGNC:10783	239.135	10	5	1
PCNA	HGNC:8729	238.8061893	10	5	1
XAB2	HGNC:14089	238.6267848	10	5	1
NPM1	HGNC:7910	237.808731899999	10	5	1
EIF4G1	HGNC:3296	237.4174389	10	5	1
PCBP1	HGNC:8647	237.1078129	10	5	1
RANBP2	HGNC:9848	237.0788924	10	5	1
RPS24	HGNC:10411	236.9122322	10	5	1
ADRB2	HGNC:286	236.851733	10	5	1
GAPDH	HGNC:4141	236.742530599999	10	5	1
CALM2	HGNC:1445	236.5334029	10	5	1
CALM3	HGNC:1449	236.5334029	10	5	1
RPSA	HGNC:6502	236.411999999999	10	5	1
RPA3	HGNC:10291	235.866999999999	10	5	1
AP2A1	HGNC:561	235.7873683	10	5	1
RPL7	HGNC:10363	235.649117999999	10	5	1
RPS19	HGNC:10402	235.6044957	10	5	1
HSPA9	HGNC:5244	235.339071899998	10	5	1
PRKCA	HGNC:9393	234.9690592	10	5	1
NUDT21	HGNC:13870	234.343363	10	5	1
ALYREF	HGNC:19071	233.754	10	5	1
PAFAH1B1	HGNC:8574	233.3147815	10	5	1
SRSF7	HGNC:10789	232.899	10	5	1
RPLP2	HGNC:10377	232.6131632	10	5	1
HNRNPK	HGNC:5044	231.506	10	5	1
YWHAQ	HGNC:12854	231.441536999999	10	5	1
SRSF6	HGNC:10788	231.167	10	5	1
PABPN1	HGNC:8565	231.1497509	10	5	1
SRRT	HGNC:24101	230.805839	10	5	1
RPL18A	HGNC:10311	230.7244305	10	5	1
SRRM2	HGNC:16639	230.6883181	10	5	1
HNRNPA0	HGNC:5030	230.6842227	10	5	1
CLP1	HGNC:16999	230.5743682	10	5	1
DCTN1	HGNC:2711	230.3690375	10	5	1
RPL30	HGNC:10333	229.8180986	10	5	1
PCBP2	HGNC:8648	229.7437713	10	5	1
SRSF3	HGNC:10785	229.333	10	5	1
CD3G	HGNC:1675	229.327	10	5	1
SKP1	HGNC:10899	229.214	10	5	1
DLG4	HGNC:2903	229.1551365	10	5	1
HNRNPL	HGNC:5045	228.8397868	10	5	1
LYN	HGNC:6735	228.6279611	10	5	1
ESR1	HGNC:3467	228.460439	10	5	1
GCG	HGNC:4191	228.151094	10	5	1
CLASP1	HGNC:17088	228.1241182	10	5	1
RPS16	HGNC:10396	228.064645	10	5	1
RPL13	HGNC:10303	227.6809848	10	5	1
CPSF2	HGNC:2325	227.2996682	10	5	1
SF3A1	HGNC:10765	227.2717555	10	5	1
SF3A2	HGNC:10766	227.1583052	10	5	1
PSMD14	HGNC:16889	227.008721499999	10	5	1
SEC13	HGNC:10697	226.8160463	10	5	1
EEF1A2	HGNC:3192	226.604628699999	10	5	1
RB1	HGNC:9884	226.257117000001	10	5	1
MDM2	HGNC:6973	226.176602000001	10	5	1
RPS23	HGNC:10410	225.3868121	10	5	1
RPS25	HGNC:10413	225.1947402	10	5	1
DDX23	HGNC:17347	224.7754614	10	5	1
SF3A3	HGNC:10767	224.6644113	10	5	1
SEH1L	HGNC:30379	224.4164658	10	5	1
CPSF7	HGNC:30098	224.3605651	10	5	1
HRAS	HGNC:5173	223.7204438	10	5	1
SNRPA1	HGNC:11152	223.6598036	10	5	1
RPS26	HGNC:10414	223.408212	10	5	1
RPL6	HGNC:10362	223.2354402	10	5	1
FBL	HGNC:3599	222.916556199999	10	5	1
PCF11	HGNC:30097	222.8014913	10	5	1
RPS10	HGNC:10383	222.5900945	10	5	1
EIF4E	HGNC:3287	222.569409599999	10	5	1
KPNB1	HGNC:6400	222.561577	10	5	1
KRAS	HGNC:6407	222.3971775	10	5	1
HDAC2	HGNC:4853	222.2497701	10	5	1
RPL8	HGNC:10368	222.0660921	10	5	1
ISY1	HGNC:29201	221.737	10	5	1
SRSF5	HGNC:10787	221.181	10	5	1
GABBR1	HGNC:4070	221.1632398	10	5	1
NUP107	HGNC:29914	220.9798915	10	5	1
RPL23A	HGNC:10317	220.7079431	10	5	1
TUBA1B	HGNC:18809	220.641543899999	10	5	1
SRSF9	HGNC:10791	220.572	10	5	1
NUP98	HGNC:8068	220.4939298	10	5	1
GCGR	HGNC:4192	220.232	10	5	1
MTNR1A	HGNC:7463	220.168783	10	5	1
TXNL4A	HGNC:30551	219.8815293	10	5	1
AQR	HGNC:29513	219.880244	10	5	1
SRSF4	HGNC:10786	219.788	10	5	1
RPL12	HGNC:10302	219.3636329	10	5	1
C3	HGNC:1318	219.3147084	10	5	1
SRSF11	HGNC:10782	218.628	10	5	1
PSMD4	HGNC:9561	218.5028473	10	5	1
BTRC	HGNC:1144	218.4331756	10	5	1
PSMD2	HGNC:9559	218.3545489	10	5	1
PRPF3	HGNC:17348	218.3379674	10	5	1
RPL18	HGNC:10310	218.3079162	10	5	1
CKAP5	HGNC:28959	218.2940847	10	5	1
SNRNP200	HGNC:30859	218.236	10	5	1
RPL13A	HGNC:10304	218.1157612	10	5	1
PTPN6	HGNC:9658	217.832237	10	5	1
SMAD3	HGNC:6769	217.204799	10	5	1
RPL11	HGNC:10301	216.4399122	10	5	1
SNRPA	HGNC:11151	216.4111342	10	5	1
MTNR1B	HGNC:7464	215.719	10	5	1
AP2M1	HGNC:564	215.648015799999	10	5	1
RPL35	HGNC:10344	215.013096699999	10	5	1
SYK	HGNC:11491	214.2925819	10	5	1
RPL27	HGNC:10328	213.8679645	10	5	1
RPS28	HGNC:10418	213.4052767	10	5	1
CCAR1	HGNC:24236	213.2898164	10	5	1
U2AF1L4	HGNC:23020	212.996	10	5	1
HIST2H2BE	HGNC:4760	212.727874199999	10	5	1
DCTN2	HGNC:2712	212.628827	10	5	1
PPP1CA	HGNC:9281	212.576320499999	10	5	1
SF3B6	HGNC:30096	211.8283339	10	5	1
MCM2	HGNC:6944	211.793500799999	10	5	1
GNAT3	HGNC:22800	211.747	10	5	1
AKT1	HGNC:391	211.583435	10	5	1
CXCR4	HGNC:2561	211.498645	10	5	1
PRPF40A	HGNC:16463	211.303635399999	10	5	1
RPL31	HGNC:10334	211.2889631	10	5	1
GABBR2	HGNC:4507	211.039569	10	5	1
TUBA3C	HGNC:12408	210.457120499999	10	5	1
CSNK2A1	HGNC:2457	210.453	10	5	1
RPL23	HGNC:10316	210.3735278	10	5	1
ACTR2	HGNC:169	210.076924099999	10	5	1
PIK3CB	HGNC:8976	209.987	10	5	1
VAV2	HGNC:12658	209.9546841	10	5	1
NDE1	HGNC:17619	209.918	10	5	1
CSNK2A2	HGNC:2459	209.806006099999	10	5	1
CSTF1	HGNC:2483	209.7813848	10	5	1
NUP133	HGNC:18016	209.7120987	10	5	1
DNAJA2	HGNC:14884	209.544660699999	10	5	1
SNRPB2	HGNC:11155	209.350673	10	5	1
CCR5	HGNC:1606	209.330173	10	5	1
RPS12	HGNC:10385	208.5116513	10	5	1
DNAJA1	HGNC:5229	208.474647299999	10	5	1
PTGER3	HGNC:9595	208.168605	10	5	1
P2RY11	HGNC:8540	207.358	10	5	1
PRPF31	HGNC:15446	207.3253828	10	5	1
SIN3A	HGNC:19353	207.1858908	10	5	1
NPS	HGNC:33940	207	10	5	1
NPSR1	HGNC:23631	207	10	5	1
CPSF4	HGNC:2327	206.9811226	10	5	1
FIP1L1	HGNC:19124	206.7390762	10	5	1
RELA	HGNC:9955	206.528317	10	5	1
PHF5A	HGNC:18000	206.505615	10	5	1
PRKAR2B	HGNC:9392	206.3350005	10	5	1
RBM5	HGNC:9902	205.7078629	10	5	1
SF3B5	HGNC:21083	205.468956	10	5	1
CDK9	HGNC:1780	204.795923	10	5	1
CCT8	HGNC:1623	204.739288099999	10	5	1
CRNKL1	HGNC:15762	204.1600623	10	5	1
U2SURP	HGNC:30855	204.0208535	10	5	1
MNAT1	HGNC:7181	203.9813033	10	5	1
PPBP	HGNC:9240	203.8577349	10	5	1
NEDD8	HGNC:7732	203.7341052	10	5	1
CD2BP2	HGNC:1656	203.714126	10	5	1
DVL2	HGNC:3086	203.4689192	10	5	1
FN1	HGNC:3778	203.461045100002	10	5	1
OPRM1	HGNC:8156	203.416295	10	5	1
RPS21	HGNC:10409	202.6460265	10	5	1
HNRNPF	HGNC:5039	202.64	10	5	1
RPL14	HGNC:10305	201.6266334	10	5	1
SNRNP70	HGNC:11150	201.551	10	5	1
HNRNPH1	HGNC:5041	201.396	10	5	1
SART1	HGNC:10538	201.2988872	10	5	1
RPL36	HGNC:13631	201.2527566	10	5	1
RANGAP1	HGNC:9854	201.1910381	10	5	1
RPL26	HGNC:10327	200.7621859	10	5	1
DNAJC8	HGNC:15470	200.654529	10	5	1
C5	HGNC:1331	200.44365	10	5	1
HSPA4L	HGNC:17041	200.233999999999	10	5	1
ATP6V1B2	HGNC:854	199.977233899999	10	5	1
CLTCL1	HGNC:2093	199.911619099999	10	5	1
AURKB	HGNC:11390	199.4622032	10	5	1
HNRNPM	HGNC:5046	199.441	10	5	1
CCR1	HGNC:1602	199.265554	10	5	1
TPR	HGNC:12017	199.248504600001	10	5	1
RPL10A	HGNC:10299	199.0900692	10	5	1
SMC3	HGNC:2468	198.9801133	10	5	1
SMARCA5	HGNC:11101	198.6936959	10	5	1
RPL21	HGNC:10313	198.5993331	10	5	1
PUF60	HGNC:17042	198.592858	10	5	1
RPL15	HGNC:10306	198.5218	10	5	1
CCL5	HGNC:10632	198.473349	10	5	1
EIF4A1	HGNC:3282	198.348999999999	10	5	1
KAT2B	HGNC:8638	198.222	10	5	1
ARRB2	HGNC:712	198.1936117	10	5	1
LSM4	HGNC:17259	198.1643458	10	5	1
GRM7	HGNC:4599	198.099017	10	5	1
RPL27A	HGNC:10329	197.9024725	10	5	1
RPS15	HGNC:10388	197.7104535	10	5	1
NUP85	HGNC:8734	197.6894874	10	5	1
ERCC2	HGNC:3434	197.6189768	10	5	1
DRD2	HGNC:3023	197.2239072	10	5	1
PLRG1	HGNC:9089	197.1891652	10	5	1
RPL22	HGNC:10315	197.0475705	10	5	1
HIST1H2BO	HGNC:4758	196.907591099999	10	5	1
SSTR3	HGNC:11332	196.859666	10	5	1
XRCC6	HGNC:4055	196.7906323	10	5	1
CRK	HGNC:2362	196.70128	10	5	1
MAX	HGNC:6913	196.548917600003	10	5	1
VAV3	HGNC:12659	196.3419831	10	5	1
COPS5	HGNC:2240	196.3254109	10	5	1
OPRD1	HGNC:8153	195.872252	10	5	1
RPS29	HGNC:10419	195.4739746	10	5	1
CCR3	HGNC:1604	194.957	10	5	1
EIF4A2	HGNC:3284	194.898593599999	10	5	1
SNRPN	HGNC:11164	194.7673762	10	5	1
HIST1H2BH	HGNC:4755	194.699080499999	10	5	1
GTF2H1	HGNC:4655	194.6444522	10	5	1
H4-16	HGNC:20510	194.5992914	10	5	1
H4C11	HGNC:4785	194.5992914	10	5	1
H4C8	HGNC:4788	194.5992914	10	5	1
AP2A2	HGNC:562	194.1855746	10	5	1
CXCL8	HGNC:6025	194.091	10	5	1
SSTR2	HGNC:11331	193.743053	10	5	1
DCTN3	HGNC:2713	193.702	10	5	1
TUBB3	HGNC:20772	193.6962271	10	5	1
RPL35A	HGNC:10345	193.674491	10	5	1
SP1	HGNC:11205	193.605839	10	5	1
PF4	HGNC:8861	193.518923	10	5	1
GRM2	HGNC:4594	193.306567	10	5	1
ERCC3	HGNC:3435	193.2847776	10	5	1
CCNB2	HGNC:1580	193.0940235	10	5	1
NCK1	HGNC:7664	193.0069632	10	5	1
ARRB1	HGNC:711	192.8136422	10	5	1
NUP160	HGNC:18017	192.69	10	5	1
CSNK2B	HGNC:2460	192.6223607	10	5	1
DRD3	HGNC:3024	192.6115876	10	5	1
HEBP1	HGNC:17176	192.598729	10	5	1
NPY	HGNC:7955	192.573001	10	5	1
GRM8	HGNC:4600	192.554936	10	5	1
FBXW11	HGNC:13607	192.5444295	10	5	1
CCNH	HGNC:1594	192.4957098	10	5	1
RPL24	HGNC:10325	192.493734	10	5	1
CCR2	HGNC:1603	192.403352	10	5	1
P2RY12	HGNC:18124	192.353	10	5	1
PTK2	HGNC:9611	192.129644	10	5	1
CBLB	HGNC:1542	192.1223995	10	5	1
LSM7	HGNC:20470	192.0070908	10	5	1
GRM3	HGNC:4595	191.879	10	5	1
NUP43	HGNC:21182	191.864184	10	5	1
COPB2	HGNC:2232	191.8291183	10	5	1
GRM6	HGNC:4598	191.752197	10	5	1
ADRA2A	HGNC:281	191.651	10	5	1
GRM4	HGNC:4596	191.474257	10	5	1
HIST1H2BK	HGNC:13954	191.442974599999	10	5	1
TUBG1	HGNC:12417	191.1320674	10	5	1
TUBB2B	HGNC:30829	191.1189749	10	5	1
RPL19	HGNC:10312	190.9044201	10	5	1
CXCL1	HGNC:4602	190.852664	10	5	1
CXCL12	HGNC:10672	190.822626	10	5	1
ADORA1	HGNC:262	190.68414	10	5	1
