Symbol	hgnc_id
AAMP	HGNC:18
ACAT2	HGNC:94
ACR	HGNC:126
ACTBP2	HGNC:135
ACTBP3	HGNC:136
ACTBP4	HGNC:137
ACTBP7	HGNC:140
ACTBP9	HGNC:142
ADCP1	HGNC:229
ALDOAP2	HGNC:416
AMPD3	HGNC:470
ANCR	HGNC:482
AOAH	HGNC:548
APOA4	HGNC:602
APOC1P1	HGNC:608
APOD	HGNC:612
ARF3	HGNC:654
ARF5	HGNC:658
ARF6	HGNC:659
ARG1	HGNC:663
ARG2	HGNC:664
ARVCF	HGNC:728
ATF3	HGNC:785
ATP1B3P1	HGNC:807
AUH	HGNC:890
AUP1	HGNC:891
B2MR	HGNC:915
BARD1	HGNC:952
BBS4	HGNC:969
BMP5	HGNC:1072
BTC	HGNC:1121
BTD	HGNC:1122
BVR1	HGNC:1153
C1QA	HGNC:1241
C1QB	HGNC:1242
C6	HGNC:1339
C7	HGNC:1346
C8A	HGNC:1352
CALM1P2	HGNC:1444
CALM2P2	HGNC:1447
CALM2P3	HGNC:1448
CALU	HGNC:1458
CAT	HGNC:1516
CATR1	HGNC:1525
CBLN1	HGNC:1543
CCK	HGNC:1569
CCND3	HGNC:1585
CCNG2	HGNC:1593
CD14	HGNC:1628
CD34	HGNC:1662
CDC25B	HGNC:1726
CDH9	HGNC:1768
CDH10	HGNC:1749
CDH16	HGNC:1755
CDK3	HGNC:1772
CDX1	HGNC:1805
CDX4	HGNC:1808
CLGN	HGNC:2060
CENPB	HGNC:1852
CHRNA2	HGNC:1956
CHRNB3	HGNC:1963
CHRNB4	HGNC:1964
CKBP1	HGNC:1993
CLK2	HGNC:2069
CLN5	HGNC:2076
CLPS	HGNC:2085
CLPTM1	HGNC:2087
CNN2	HGNC:2156
CNN3	HGNC:2157
CNTFR	HGNC:2170
COL10A1	HGNC:2185
COL15A1	HGNC:2192
COX6C	HGNC:2285
COX7C	HGNC:2292
CPA2	HGNC:2297
CPM	HGNC:2311
CR1L	HGNC:2335
CREBL2	HGNC:2350
CRKL	HGNC:2363
CRYZ	HGNC:2419
CRYZP1	HGNC:2421
CS	HGNC:2422
CSK	HGNC:2444
CST1	HGNC:2473
CST2	HGNC:2474
CST4	HGNC:2476
CST5	HGNC:2477
CSTP2	HGNC:2487
CTBP2	HGNC:2495
CTSS	HGNC:2545
CYLC2	HGNC:2583
DAP	HGNC:2672
DCK	HGNC:2704
DCTD	HGNC:2710
DMXL1	HGNC:2937
DHFRP3	HGNC:52354
DLX1	HGNC:2914
DLX6	HGNC:2919
DRD5P1	HGNC:3027
DRD5P2	HGNC:3028
DRG2	HGNC:3030
DTNB	HGNC:3058
ECM2	HGNC:3154
DVL2	HGNC:3086
E2F3P1	HGNC:3116
EBVS1	HGNC:3143
EIF5AP2	HGNC:3303
EIF5AP3	HGNC:3304
ELK1	HGNC:3321
EMX1	HGNC:3340
EMX2	HGNC:3341
EN2	HGNC:3343
ENDOG	HGNC:3346
ESA4	HGNC:3462
ESAT	HGNC:3463
ESB3	HGNC:3464
EYA3	HGNC:3521
FAH	HGNC:3579
FBLN2	HGNC:3601
FGF10	HGNC:3666
GPC5	HGNC:4453
FGG	HGNC:3694
FMO1	HGNC:3769
FPGS	HGNC:3824
FRA1A	HGNC:3868
FRA1B	HGNC:3869
FRA1C	HGNC:3870
FRA1D	HGNC:3871
FRA1E	HGNC:3872
FRA1F	HGNC:3873
FRA1G	HGNC:3874
FRA1H	HGNC:3875
FRA1I	HGNC:3876
FRA1J	HGNC:3877
FRA1K	HGNC:3878
FRA1L	HGNC:3879
FRA1M	HGNC:3880
FRA2B	HGNC:3886
FRA2C	HGNC:3887
FRA2D	HGNC:3888
FRA2E	HGNC:3889
FRA2F	HGNC:3890
FRA2G	HGNC:3891
