hgnc_id	GeneSymbol	gene	length	CDS_length	TSSD	pLI	LOEUF	ABC_count	ABC_length_per_type	Roadmap_count	Roadmap_length_per_type	promoter_count	connect_decile	connect_quantile	connectedness	PPI_degree_decile	PPI_degree_quantile	PPI_degree_cat	TF	hs	HI
HGNC:14825	ENSG00000186092	OR4F5	6.166	0.981	0	0.030354	1.84	0	0	0	0	0	0	0	0	4	2	1	0	0.00443848891929715	0
HGNC:15079	ENSG00000284662	OR4F16	0.938	0.939	11	NA	NA	0	0	26	0.307692307692308	0	0	0	0	4	2	1	0	NA	NA
HGNC:28706	ENSG00000187634	SAMD11	20.652	2.538	29	4.7681e-14	1.28	39	3.30217948717949	104	1.72307692307692	9	0	0	0	1	1	1	0	0.00505140849196764	0
HGNC:24517	ENSG00000188976	NOC2L	15.106	2.25	32	2.8933e-29	1.327	120	2.53705833333333	80	0.6475	1	0	0	0	10	5	1	0	0.000336407082049989	0
HGNC:24023	ENSG00000187961	KLHL17	5.135	1.929	32	1.3052e-16	1.259	85	2.43148235294118	45	0.324444444444444	1	8	4	1	5	3	1	0	0.00309058256306364	0
HGNC:25284	ENSG00000187583	PLEKHN1	9.383	1.992	32	1.1549e-14	1.124	113	2.27805309734513	100	1.654	1	6	3	1	3	2	1	0	0.0005439925223699	0
HGNC:28208	ENSG00000187642	PERM1	6.889	2.373	33	1.1667e-15	1.686	15	2.956	61	0.940983606557377	2	6	3	1	0	0	0	0	NA	0
HGNC:24149	ENSG00000188290	HES4	1.21	0.744	33	1.3746e-05	1.947	120	2.22170833333333	75	0.664	6	10	5	1	3	2	1	1	NA	0
HGNC:4053	ENSG00000187608	ISG15	13.402	0.498	33	0.40527	1.691	129	2.31518604651163	89	0.759550561797753	2	10	5	1	9	5	1	0	0.0615996323304607	0
HGNC:329	ENSG00000188157	AGRN	35.998	6.138	34	5.4727e-07	0.435	113	2.54904424778761	75	0.936	4	9	5	1	9	5	1	0	0.0264756523645003	0
HGNC:40020	ENSG00000237330	RNF223	3.339	0.75	35	0.026565	1.867	38	4.28563157894737	94	1.51914893617021	1	0	0	0	0	0	0	0	NA	0
HGNC:26062	ENSG00000131591	C1orf159	34.543	1.143	38	0.0001645	1.302	126	2.71202380952381	43	0.409302325581395	3	5	3	1	1	1	1	0	0.0136930571262659	0
HGNC:26693	ENSG00000162571	TTLL10	24.056	2.022	40	1.2286e-11	1.132	5	2.5188	90	1.25333333333333	4	6	3	1	3	2	1	0	0.000166880848790654	0
HGNC:11914	ENSG00000186891	TNFRSF18	3.084	0.768	40	1.4516e-06	1.88	62	2.75583870967742	99	2.78989898989899	4	3	2	1	5	3	1	0	9.71708272388569e-05	0
HGNC:11918	ENSG00000186827	TNFRSF4	2.813	0.834	40	0.00015133	1.322	48	2.39875	84	2.13333333333333	2	7	4	1	5	3	1	0	8.33956331023925e-05	0
HGNC:24188	ENSG00000078808	SDF4	15.158	1.068	41	0.0091042	0.764	126	2.61145238095238	42	0.757142857142857	7	6	3	1	8	4	1	0	0.039977046008769	0
HGNC:17978	ENSG00000176022	B3GALT6	2.804	0.99	41	0.022667	1.425	126	2.61154761904762	69	0.92463768115942	1	4	2	1	7	4	1	0	0.0217626736756979	0
