gene	pLI	LOEUF
MED13	1	0.03
NIPBL	1	0.032
SMC3	1	0.037
CNOT1	1	0.038
RLF	1	0.04
PCF11	1	0.04
FNDC3B	1	0.042
TAF1	1	0.043
RSF1	1	0.044
NCKAP1	1	0.044
KDM2A	1	0.045
BRD4	1	0.048
HELZ	1	0.048
FBN1	1	0.049
XPO1	1	0.051
PRR12	1	0.051
USP9X	1	0.051
POLA1	1	0.051
SYNGAP1	1	0.052
PRKDC	1	0.052
HDAC4	1	0.052
SMG1	1	0.053
ZC3H4	1	0.054
COL5A1	1	0.055
SMARCA4	1	0.055
TNPO1	1	0.056
AGO1	1	0.057
ARHGAP35	1	0.057
LRP1	1	0.058
TOP1	1	0.059
TRIP12	1	0.06
KMT2E	1	0.06
HCFC1	1	0.06
UBTF	1	0.06
HUWE1	1	0.06
KDM3B	1	0.06
TRRAP	1	0.06
GRIN2B	1	0.061
USP7	1	0.061
ATP1A3	1	0.062
ASH1L	1	0.062
ANKRD17	1	0.062
SMC1A	1	0.062
NPEPPS	1	0.062
CHERP	1	0.062
MED13L	1	0.064
RPRD2	1	0.064
KMT2A	1	0.065
CREBBP	1	0.066
SF3B1	1	0.066
EIF3B	1	0.067
PPFIA1	1	0.067
ZSWIM6	1	0.067
PRPF3	1	0.068
KAT6A	1	0.069
KMT2B	1	0.07
SIN3A	1	0.07
CHD2	1	0.07
ARID1A	1	0.071
GLTSCR1L	1	0.071
SCN1A	1	0.071
MED12	1	0.071
TJP1	1	0.071
SPEN	1	0.071
WDFY3	1	0.071
HDAC6	1	0.072
EHMT1	1	0.072
JMJD1C	1	0.072
MAP3K12	1	0.072
GGNBP2	1	0.073
CASK	1	0.073
TLE3	1	0.073
CHD6	1	0.073
UBR5	1	0.073
EIF4G1	1	0.074
NBEA	1	0.074
SMARCA5	1	0.074
TSC2	1	0.074
SUPT5H	1	0.074
GREB1L	1	0.075
PTCH1	1	0.075
CHD7	1	0.076
RAD54L2	1	0.076
CNOT3	1	0.076
AHDC1	1	0.076
