trait	cohort	lead_variant	ensgid	gene	chromosome	start	end	tss	pops_score	pops_rank	twas_z	twas_p	twas_rank	distance_tss	distance_tss_rank	distance_genebody	distance_genebody_rank
ADHD	UKB	rs112984125	ENSG00000117395	EBNA1BP2	1	43629846.0	43736607.0	43736607.0	0.06348955879846523	13.0	1.96	0.0502	16.0	436816.0	20.0	436816.0	21.0
ADHD	UKB	rs112984125	ENSG00000243710	WDR65	1	43637820.0	43720029.0	43637820.0	-0.15199411007666566	19.0	2.01	0.0442	15.0	535603.0	22.0	453394.0	22.0
ADHD	UKB	rs112984125	ENSG00000179178	TMEM125	1	43735665.0	43739673.0	43735665.0	-0.06197304785685458	16.0	4.55	5.400000000000002e-06	9.0	437758.0	21.0	433750.0	20.0
ADHD	UKB	rs112984125	ENSG00000253313	C1orf210	1	43747554.0	43751288.0	43751288.0	-0.15030493492382874	18.0	-1.17	0.244	20.0	422135.0	19.0	422135.0	19.0
ADHD	UKB	rs112984125	ENSG00000066056	TIE1	1	43766664.0	43788779.0	43766664.0	0.3868602757609534	2.0	7.58	3.4e-14	1.0	406759.0	17.0	384644.0	17.0
ADHD	UKB	rs112984125	ENSG00000117400	MPL	1	43803478.0	43818443.0	43803478.0	0.152203784247446	9.0	2.83	0.0046	13.0	369945.0	16.0	354980.0	16.0
ADHD	UKB	rs112984125	ENSG00000117399	CDC20	1	43824626.0	43828874.0	43824626.0	0.6958080875470476	1.0	5.52	3.46e-08	8.0	348797.0	15.0	344549.0	15.0
ADHD	UKB	rs112984125	ENSG00000066322	ELOVL1	1	43829068.0	43833696.0	43833696.0	-0.2323726336509027	21.0	2.86	0.00424	12.0	339727.0	14.0	339727.0	14.0
ADHD	UKB	rs112984125	ENSG00000159479	MED8	1	43849588.0	43855479.0	43855479.0	0.011734681513782843	14.0	5.82	5.760000000000001e-09	6.0	317944.0	12.0	317944.0	13.0
ADHD	UKB	rs112984125	ENSG00000198198	SZT2	1	43855553.0	43918321.0	43855553.0	0.16468331788943227	8.0	1.89	0.0593	17.0	317870.0	11.0	255102.0	7.0
ADHD	UKB	rs112984125	ENSG00000178922	HYI	1	43916824.0	43919660.0	43919660.0	-0.1693554677956545	20.0	6.48	9.350000000000001e-11	4.0	253763.0	6.0	253763.0	6.0
ADHD	UKB	rs112984125	ENSG00000142949	PTPRF	1	43990858.0	44089343.0	43990858.0	0.2106999376339618	7.0	7.08	1.48e-12	3.0	182565.0	3.0	84080.0	3.0
ADHD	UKB	rs112984125	ENSG00000066135	KDM4A	1	44115829.0	44171186.0	44115829.0	0.2891153443482117	3.0	1.17	0.243	19.0	57594.0	2.0	2237.0	2.0
ADHD	UKB	rs112984125	ENSG00000126091	ST3GAL3	1	44171495.0	44396831.0	44171495.0	0.27845746585164505	4.0	7.35	1.9399999999999998e-13	2.0	1928.0	1.0	0.0	1.0
ADHD	UKB	rs112984125	ENSG00000117407	ARTN	1	44398992.0	44402913.0	44398992.0	0.2227124068601328	6.0	5.52	3.4e-08	7.0	225569.0	4.0	225569.0	4.0
ADHD	UKB	rs112984125	ENSG00000117408	IPO13	1	44412611.0	44433694.0	44412611.0	0.14905030150447104	10.0	1.01	0.313	21.0	239188.0	5.0	239188.0	5.0
ADHD	UKB	rs112984125	ENSG00000132768	DPH2	1	44435672.0	44439041.0	44435672.0	-0.09497836969639968	17.0	6.31	2.84e-10	5.0	262249.0	7.0	262249.0	8.0
ADHD	UKB	rs112984125	ENSG00000117410	ATP6V0B	1	44440159.0	44443967.0	44440159.0	0.2446410730149536	5.0	3.61	0.00031	11.0	266736.0	8.0	266736.0	9.0
ADHD	UKB	rs112984125	ENSG00000117411	B4GALT2	1	44444615.0	44456840.0	44444615.0	0.13784104091886715	11.0	-2.03	0.0425	14.0	271192.0	9.0	271192.0	10.0
ADHD	UKB	rs112984125	ENSG00000159214	CCDC24	1	44457031.0	44462200.0	44457031.0	0.08841386259085278	12.0	3.8	0.000145	10.0	283608.0	10.0	283608.0	11.0
ADHD	UKB	rs112984125	ENSG00000196517	SLC6A9	1	44457172.0	44497139.0	44497139.0	-0.320653856845638	22.0	1.58	0.114	18.0	323716.0	13.0	283749.0	12.0
ADHD	UKB	rs112984125	ENSG00000171872	KLF17	1	44584522.0	44600812.0	44584522.0	0.01021868054684678	15.0				411099.0	18.0	411099.0	18.0
ADHD	UKB	rs2391769	ENSG00000117569	PTBP2	1	97187221.0	97289294.0	97187221.0	0.3404008572980639	1.0	4.26	2.0399999999999998e-05	1.0	208260.0	1.0	208260.0	1.0
ADHD	UKB	rs9677504	ENSG00000144451	SPAG16	2	214149113.0	215275225.0	214149113.0	0.2652185606749122	1.0	2.16	0.0311	1.0	1032776.0	3.0	0.0	1.0
ADHD	UKB	rs9677504	ENSG00000174453	VWC2L	2	215275789.0	215443683.0	215275789.0	0.1426656689697625	2.0				93900.0	1.0	93900.0	2.0
ADHD	UKB	rs9677504	ENSG00000138376	BARD1	2	215590370.0	215674428.0	215674428.0	-0.09896670708401546	3.0	0.0116	0.991	2.0	492539.0	2.0	408481.0	3.0
ADHD	UKB	rs4858241	ENSG00000114166	KAT2B	3	20081515.0	20195896.0	20081515.0	0.519359384082265	1.0	4.93197	8.140000000000002e-07	1.0	587556.0	2.0	473175.0	2.0
ADHD	UKB	rs4858241	ENSG00000129810	SGOL1	3	20202085.0	20227784.0	20227784.0	0.029911449096826925	2.0	3.735097	0.000188	2.0	441287.0	1.0	441287.0	1.0
ADHD	UKB	rs4916723	ENSG00000164180	TMEM161B	5	87485450.0	87565293.0	87565293.0	-0.11168649916312873	2.0	3.6961190000000004	0.00021899999999999998	1.0	289102.0	1.0	289102.0	2.0
ADHD	UKB	rs4916723	ENSG00000081189	MEF2C	5	88013975.0	88199922.0	88199922.0	1.393206303531743	1.0				345527.0	2.0	159580.0	1.0
