GeneSymbol	CDS_length
ENSG00000000419	888
ENSG00000000457	2229
ENSG00000000460	2562
ENSG00000000938	1590
ENSG00000000971	3696
ENSG00000001036	1404
ENSG00000001084	1920
ENSG00000001167	1044
ENSG00000001460	1005
ENSG00000001461	1221
ENSG00000001561	1362
ENSG00000001617	2358
ENSG00000001626	4443
ENSG00000001629	3270
ENSG00000001630	1530
ENSG00000001631	2211
ENSG00000002016	1257
ENSG00000002330	507
ENSG00000002549	1560
ENSG00000002587	924
ENSG00000002726	2313
ENSG00000002745	1098
ENSG00000002746	4821
ENSG00000002822	2157
ENSG00000002834	786
ENSG00000002919	813
ENSG00000002933	708
ENSG00000003137	1539
ENSG00000003147	1539
ENSG00000003249	537
ENSG00000003393	5076
ENSG00000003400	1569
ENSG00000003402	1443
ENSG00000003436	915
ENSG00000003509	1326
ENSG00000003756	2448
ENSG00000003987	1983
ENSG00000003989	2097
ENSG00000004059	543
ENSG00000004139	2175
ENSG00000004142	1107
ENSG00000004399	5778
ENSG00000004455	720
ENSG00000004468	903
ENSG00000004478	1380
ENSG00000004487	2637
ENSG00000004534	3372
ENSG00000004660	1599
ENSG00000004700	1950
ENSG00000004766	2895
ENSG00000004776	483
ENSG00000004777	3864
ENSG00000004779	471
ENSG00000004799	1236
ENSG00000004809	1734
ENSG00000004838	1323
ENSG00000004846	3774
ENSG00000004864	2031
ENSG00000004866	1758
ENSG00000004897	2493
ENSG00000004939	2736
ENSG00000004948	1473
ENSG00000004975	2211
ENSG00000005001	954
ENSG00000005007	3390
ENSG00000005020	1080
ENSG00000005059	1011
ENSG00000005073	942
ENSG00000005075	354
ENSG00000005100	2124
ENSG00000005102	765
ENSG00000005108	4974
ENSG00000005156	3030
ENSG00000005175	1998
ENSG00000005187	1761
ENSG00000005189	2325
ENSG00000005194	939
ENSG00000005206	1779
ENSG00000005238	1617
ENSG00000005243	633
ENSG00000005249	1257
ENSG00000005339	7329
ENSG00000005379	5574
ENSG00000005381	2238
ENSG00000005421	1068
ENSG00000005436	2346
ENSG00000005448	1005
ENSG00000005469	1923
ENSG00000005471	3861
ENSG00000005483	5577
ENSG00000005486	1095
ENSG00000005513	1341
ENSG00000005700	4062
ENSG00000005801	1902
ENSG00000005810	14319
ENSG00000005812	1287
ENSG00000005844	3513
ENSG00000005882	1224
ENSG00000005884	3201
ENSG00000005961	3120
ENSG00000005981	1281
ENSG00000006007	996
ENSG00000006015	606
ENSG00000006016	1281
ENSG00000006025	2529
ENSG00000006042	681
ENSG00000006047	1095
ENSG00000006059	1215
ENSG00000006062	2844
ENSG00000006071	4812
ENSG00000006116	948
ENSG00000006118	3075
ENSG00000006125	2856
ENSG00000006128	390
ENSG00000006194	2052
ENSG00000006210	1212
ENSG00000006282	2409
ENSG00000006283	7134
ENSG00000006327	681
ENSG00000006377	882
ENSG00000006432	3357
ENSG00000006451	621
ENSG00000006453	1536
ENSG00000006459	2826
ENSG00000006468	1476
ENSG00000006530	1269
ENSG00000006534	1407
ENSG00000006555	1710
ENSG00000006576	2358
ENSG00000006606	285
ENSG00000006607	3165
ENSG00000006611	2700
ENSG00000006625	567
ENSG00000006634	2025
ENSG00000006638	1224
ENSG00000006652	1356
ENSG00000006659	507
ENSG00000006695	1332
ENSG00000006704	2931
ENSG00000006712	1596
ENSG00000006715	2565
ENSG00000006740	2457
ENSG00000006744	2481
ENSG00000006747	2148
ENSG00000006788	5817
ENSG00000006831	1161
ENSG00000006837	1779
ENSG00000007001	1125
ENSG00000007038	945
ENSG00000007047	2259
ENSG00000007062	2598
ENSG00000007080	672
ENSG00000007129	882
ENSG00000007168	1287
ENSG00000007171	3462
ENSG00000007174	13461
ENSG00000007202	6708
ENSG00000007216	1926
ENSG00000007237	1431
ENSG00000007255	522
ENSG00000007264	1527
ENSG00000007306	798
ENSG00000007312	693
ENSG00000007314	5511
ENSG00000007341	1728
ENSG00000007372	1422
ENSG00000007376	939
ENSG00000007384	2568
ENSG00000007392	1116
ENSG00000007402	3462
ENSG00000007516	3564
ENSG00000007520	939
ENSG00000007541	2283
ENSG00000007545	3810
ENSG00000007866	1308
ENSG00000007908	1833
ENSG00000007923	1680
ENSG00000007933	1599
ENSG00000007944	1338
ENSG00000007968	1314
ENSG00000008018	726
ENSG00000008083	3741
ENSG00000008118	1431
ENSG00000008128	2352
ENSG00000008130	1776
ENSG00000008196	1383
ENSG00000008197	1359
ENSG00000008226	5337
ENSG00000008256	1203
ENSG00000008277	2895
ENSG00000008282	780
ENSG00000008283	957
ENSG00000008294	3966
ENSG00000008300	9939
ENSG00000008311	2781
ENSG00000008323	2373
ENSG00000008324	234
ENSG00000008382	1512
ENSG00000008394	468
ENSG00000008405	1761
ENSG00000008438	591
ENSG00000008441	1533
ENSG00000008513	1023
ENSG00000008516	1689
ENSG00000008517	705
ENSG00000008710	12912
ENSG00000008735	2475
ENSG00000008838	3045
ENSG00000008853	2250
ENSG00000008869	6216
ENSG00000008952	1200
ENSG00000008988	429
ENSG00000009307	2535
ENSG00000009335	3252
ENSG00000009413	9393
ENSG00000009709	1563
ENSG00000009724	2061
ENSG00000009765	882
ENSG00000009780	1026
ENSG00000009790	1656
ENSG00000009830	2400
ENSG00000009844	924
ENSG00000009950	2559
ENSG00000009954	4452
ENSG00000010017	2190
ENSG00000010030	1026
ENSG00000010072	1470
ENSG00000010165	2100
ENSG00000010219	1905
ENSG00000010244	1494
ENSG00000010256	1443
ENSG00000010270	705
ENSG00000010278	813
ENSG00000010282	1515
ENSG00000010292	4206
ENSG00000010295	1716
ENSG00000010310	1401
ENSG00000010318	1146
ENSG00000010319	2349
ENSG00000010322	4515
ENSG00000010327	7713
ENSG00000010361	1257
ENSG00000010379	1809
ENSG00000010438	780
ENSG00000010539	1188
ENSG00000010610	1377
ENSG00000010626	1032
ENSG00000010704	1047
ENSG00000010803	1983
ENSG00000010810	1614
ENSG00000010818	7341
ENSG00000010932	1599
ENSG00000011007	2319
ENSG00000011009	696
ENSG00000011021	2862
ENSG00000011028	4440
ENSG00000011052	879
ENSG00000011083	2001
ENSG00000011105	816
ENSG00000011114	3399
ENSG00000011132	1728
ENSG00000011143	1686
ENSG00000011198	1050
ENSG00000011243	1941
ENSG00000011258	1887
ENSG00000011260	1671
ENSG00000011275	2772
ENSG00000011295	1143
ENSG00000011304	1767
ENSG00000011332	1308
ENSG00000011347	2061
ENSG00000011376	2712
ENSG00000011405	5061
ENSG00000011422	1008
ENSG00000011426	3375
ENSG00000011451	5670
ENSG00000011454	3210
ENSG00000011465	1080
ENSG00000011478	1149
ENSG00000011485	1500
ENSG00000011523	2274
ENSG00000011566	2685
ENSG00000011590	1464
ENSG00000011600	435
ENSG00000011638	558
ENSG00000012048	5655
ENSG00000012061	972
ENSG00000012124	2544
ENSG00000012171	2265
ENSG00000012223	2133
ENSG00000012232	2760
ENSG00000012504	1461
ENSG00000012660	981
ENSG00000012779	2025
ENSG00000012822	2076
ENSG00000012963	1278
ENSG00000012983	2541
ENSG00000013016	1608
ENSG00000013275	1257
ENSG00000013288	3030
ENSG00000013293	2316
ENSG00000013297	624
ENSG00000013306	1080
ENSG00000013364	2682
ENSG00000013374	1848
ENSG00000013375	1713
ENSG00000013392	879
ENSG00000013441	1581
ENSG00000013503	3402
ENSG00000013523	2013
ENSG00000013561	1425
ENSG00000013573	2913
ENSG00000013583	624
ENSG00000013588	1074
ENSG00000013725	2007
ENSG00000013810	2517
ENSG00000014123	2385
ENSG00000014138	1797
ENSG00000014164	2847
ENSG00000014216	2145
ENSG00000014257	1257
ENSG00000014641	1062
ENSG00000014824	1707
ENSG00000014914	2130
ENSG00000014919	1233
ENSG00000015133	6087
ENSG00000015153	615
ENSG00000015171	1854
ENSG00000015413	1236
ENSG00000015475	726
ENSG00000015479	2544
ENSG00000015520	4080
ENSG00000015532	2598
ENSG00000015568	5298
ENSG00000015592	777
ENSG00000015676	1086
ENSG00000016082	1050
ENSG00000016391	1785
ENSG00000016402	1662
ENSG00000016490	2745
ENSG00000016602	2760
ENSG00000016864	1116
ENSG00000017260	2922
ENSG00000017427	588
ENSG00000017797	1968
ENSG00000018189	1863
ENSG00000018236	3057
ENSG00000018280	1653
ENSG00000018408	1203
ENSG00000018510	2031
ENSG00000018625	3063
ENSG00000018699	2532
ENSG00000018869	1554
ENSG00000019102	984
ENSG00000019144	4134
ENSG00000019169	1563
ENSG00000019186	1545
ENSG00000019485	3534
ENSG00000019505	1281
ENSG00000019549	807
ENSG00000019582	891
ENSG00000019991	2187
ENSG00000019995	2127
ENSG00000020129	2190
ENSG00000020181	4017
ENSG00000020256	2046
ENSG00000020426	930
ENSG00000020577	2157
ENSG00000020633	1290
ENSG00000020922	2136
ENSG00000021300	732
ENSG00000021355	1140
ENSG00000021461	1515
ENSG00000021488	1464
ENSG00000021574	1851
ENSG00000021645	4716
ENSG00000021762	2640
ENSG00000021776	4458
ENSG00000021826	4521
ENSG00000021852	1776
ENSG00000022277	1011
ENSG00000022355	1416
ENSG00000022556	3189
ENSG00000022567	2427
ENSG00000022840	2451
ENSG00000022976	2784
ENSG00000023041	1326
ENSG00000023171	2634
ENSG00000023191	1386
ENSG00000023228	2226
ENSG00000023287	4785
ENSG00000023318	1221
ENSG00000023330	1923
ENSG00000023445	1938
ENSG00000023516	5706
ENSG00000023572	498
ENSG00000023608	1107
