Gene stable ID	CDS Length	Transcript count
ENSG00000210049		1
ENSG00000211459		1
ENSG00000210077		1
ENSG00000210082		1
ENSG00000209082		1
ENSG00000198888	956	1
ENSG00000210100		1
ENSG00000210107		1
ENSG00000210112		1
ENSG00000198763	1042	1
ENSG00000210117		1
ENSG00000210127		1
ENSG00000210135		1
ENSG00000210140		1
ENSG00000210144		1
ENSG00000198804	1542	1
ENSG00000210151		1
ENSG00000210154		1
ENSG00000198712	684	1
ENSG00000210156		1
ENSG00000228253	207	1
ENSG00000198899	681	1
ENSG00000198938	784	1
ENSG00000210164		1
ENSG00000198840	346	1
ENSG00000210174		1
ENSG00000212907	297	1
ENSG00000198886	1378	1
ENSG00000210176		1
ENSG00000210184		1
ENSG00000210191		1
ENSG00000198786	1812	1
ENSG00000198695	525	1
ENSG00000210194		1
ENSG00000198727	1141	1
ENSG00000210195		1
ENSG00000210196		1
ENSG00000278457		1
ENSG00000280538		1
ENSG00000278704	228	1
ENSG00000271254	1812	2
ENSG00000271254	2019	2
ENSG00000275151		1
ENSG00000278294		1
ENSG00000281806		3
ENSG00000279969		1
ENSG00000274882		5
ENSG00000281362		1
ENSG00000280663	1005	13
ENSG00000280663	636	13
ENSG00000280663	283	13
ENSG00000280663	1086	13
ENSG00000280663	405	13
ENSG00000280663		13
ENSG00000280663	94	13
ENSG00000280663	406	13
ENSG00000280663	789	13
ENSG00000277995		1
ENSG00000277044	880	3
ENSG00000277339	1002	1
ENSG00000280695		1
ENSG00000276876	1776	5
ENSG00000276876	3366	5
ENSG00000276876		5
ENSG00000276876	3447	5
ENSG00000274324	893	1
ENSG00000274130		1
ENSG00000278731	1047	1
ENSG00000277620	1233	1
ENSG00000274826		2
ENSG00000262826	3129	11
ENSG00000262826		11
ENSG00000262826	2709	11
ENSG00000262826	843	11
ENSG00000262826	148	11
ENSG00000262826	126	11
ENSG00000277355	1134	2
ENSG00000277355	1029	2
ENSG00000275699	822	4
ENSG00000275699	1251	4
ENSG00000275699	738	4
ENSG00000275699	1029	4
ENSG00000273755		2
